,alcohol,volatile acidity,free sulfur dioxide,density,total sulfur dioxide,pH,fixed acidity,residual sugar,sulphates,quality
22,10.5,0.26,41.0,0.993,122.0,3.47,6.8,1.7,0.48,8.0
23,9.3,0.67,25.0,0.9937,168.0,3.05,7.6,1.5,0.51,5.0
24,10.0,0.27,16.0,0.9951,142.0,3.42,6.6,1.3,0.47,6.0
25,10.4,0.25,56.0,0.9955,245.0,3.25,7.0,9.0,0.5,6.0
26,10.0,0.24,35.0,0.993,146.0,3.45,6.9,1.0,0.44,6.0
27,10.5,0.28,32.0,0.9961,141.0,3.38,7.0,8.7,0.53,6.0
28,11.6,0.27,17.0,0.9914,132.0,3.19,7.4,1.1,0.49,6.0
29,12.3,0.32,37.0,0.9906,114.0,3.1,7.2,2.0,0.71,7.0
30,10.0,0.24,20.0,0.9974,142.0,3.2,8.5,10.4,0.53,6.0
31,10.2,0.14,7.0,0.9934,47.0,3.47,8.3,1.1,0.4,6.0
32,10.8,0.25,31.0,0.992,100.0,3.19,7.4,2.05,0.44,6.0
33,9.0,0.12,43.0,0.9939,117.0,3.42,6.2,1.5,0.51,6.0
34,10.2,0.27,22.0,0.9962,179.0,3.37,5.8,14.95,0.37,5.0
35,12.8,0.28,21.0,0.9905,123.0,3.19,7.3,1.7,0.42,5.0
36,10.0,0.39,25.0,0.9934,149.0,3.24,6.5,5.4,0.35,5.0
37,11.2,0.33,38.0,0.9906,138.0,3.13,7.0,1.2,0.28,6.0
38,8.6,0.24,45.0,0.9999,149.0,3.21,7.3,17.95,0.36,5.0
39,8.6,0.24,45.0,0.9999,149.0,3.21,7.3,17.95,0.36,5.0
40,9.4,0.23,63.0,0.9937,158.0,3.11,6.7,2.5,0.36,6.0
41,9.4,0.24,63.0,0.9937,157.0,3.1,6.7,2.9,0.34,6.0
42,9.8,0.31,28.0,0.9954,160.0,3.13,7.0,7.4,0.46,6.0
43,9.5,0.24,33.0,0.9934,152.0,3.22,6.6,1.4,0.56,6.0
44,9.5,0.23,33.0,0.9934,154.0,3.24,6.7,1.4,0.56,6.0
45,10.0,0.18,38.0,0.9931,167.0,3.16,7.4,1.4,0.53,7.0
46,9.8,0.45,63.0,0.994,206.0,3.27,6.2,4.4,0.52,4.0
47,9.8,0.46,62.0,0.9939,207.0,3.25,6.2,4.4,0.52,5.0
48,9.8,0.31,28.0,0.9954,160.0,3.13,7.0,7.4,0.46,6.0
49,9.8,0.19,32.0,0.995,150.0,3.36,6.9,5.0,0.48,5.0
50,11.7,0.19,31.0,0.9917,173.0,3.35,7.2,1.6,0.44,6.0
51,11.0,0.25,39.0,0.9914,124.0,3.34,6.6,1.1,0.58,7.0
52,10.9,0.16,21.0,0.991,82.0,3.32,6.2,1.1,0.46,7.0
53,10.9,0.18,39.0,0.9911,108.0,3.31,6.4,1.0,0.35,6.0
54,9.1,0.2,38.0,0.993,132.0,3.05,6.8,0.9,0.38,6.0
55,11.0,0.25,29.0,0.9908,191.0,3.13,6.9,1.3,0.52,6.0
56,9.6,0.21,37.0,0.9962,213.0,3.09,7.2,11.9,0.5,6.0
57,8.9,0.19,50.0,0.9972,147.0,3.3,6.0,12.4,0.36,6.0
58,10.2,0.38,25.0,0.9931,78.0,3.11,6.6,4.6,0.38,6.0
59,9.9,0.2,44.0,0.9926,111.0,3.36,7.4,1.2,0.34,6.0
60,8.6,0.22,30.0,0.9951,123.0,3.03,6.8,4.9,0.46,6.0
61,8.9,0.19,50.0,0.9972,147.0,3.3,6.0,12.4,0.36,6.0
62,10.5,0.47,17.0,0.991,151.0,3.02,7.0,1.1,0.34,5.0
63,10.2,0.38,25.0,0.9931,78.0,3.11,6.6,4.6,0.38,6.0
64,10.3,0.24,31.0,0.9927,122.0,3.15,7.2,1.4,0.46,6.0
65,9.1,0.35,29.0,0.9934,120.0,3.22,6.2,1.2,0.54,5.0
66,12.6,0.26,27.0,0.9903,124.0,3.22,6.4,6.4,0.49,7.0
68,10.7,0.23,30.0,0.9926,96.0,3.33,6.7,2.1,0.64,8.0
69,9.5,0.24,21.0,0.9962,105.0,3.13,7.4,10.1,0.35,5.0
70,9.0,0.27,48.0,0.9956,244.0,3.1,6.2,7.8,0.51,6.0
71,9.5,0.3,50.5,0.9958,238.5,3.32,6.8,4.6,0.6,5.0
72,10.0,0.27,31.0,0.9964,201.0,3.69,6.0,4.8,0.71,5.0
73,9.1,0.23,9.0,0.9941,72.0,2.95,8.6,1.0,0.49,6.0
74,10.7,0.23,30.0,0.9926,96.0,3.33,6.7,2.1,0.64,8.0
75,9.5,0.24,21.0,0.9962,105.0,3.13,7.4,10.1,0.35,5.0
76,12.7,0.18,31.0,0.9898,87.0,3.26,7.1,1.4,0.37,7.0
77,12.0,0.32,20.0,0.9912,69.0,3.31,7.0,1.3,0.65,7.0
78,9.3,0.18,26.0,0.9961,103.0,2.94,7.4,8.8,0.56,5.0
79,9.0,0.54,21.0,0.9949,105.0,3.27,6.7,5.4,0.37,5.0
80,10.6,0.22,34.0,0.9929,114.0,3.39,6.8,1.4,0.77,6.0
81,9.2,0.2,51.0,0.9985,166.0,3.21,7.1,16.0,0.6,6.0
82,10.0,0.34,47.0,0.9946,164.0,3.17,7.1,6.1,0.42,5.0
83,9.5,0.22,42.0,0.9966,207.0,3.33,7.3,8.2,0.46,6.0
84,8.7,0.43,54.0,0.9974,155.0,3.11,7.1,11.8,0.45,5.0
85,8.7,0.44,52.0,0.9975,152.0,3.12,7.1,11.8,0.46,6.0
86,8.7,0.39,55.0,0.9974,156.0,3.09,7.2,11.0,0.44,6.0
87,9.7,0.25,69.0,0.9972,202.0,3.22,6.8,13.3,0.48,6.0
88,8.7,0.43,54.0,0.9974,155.0,3.11,7.1,11.8,0.45,5.0
89,8.7,0.44,52.0,0.9975,152.0,3.12,7.1,11.8,0.46,6.0
90,8.7,0.39,55.0,0.9974,156.0,3.09,7.2,11.0,0.44,6.0
91,9.0,0.27,65.0,0.9957,243.0,3.12,6.1,7.5,0.47,5.0
92,12.6,0.24,47.0,0.99,136.0,3.26,6.9,1.7,0.4,7.0
93,12.6,0.21,48.0,0.9899,136.0,3.25,6.9,1.8,0.41,7.0
94,11.5,0.17,51.0,0.9916,148.0,3.21,7.5,1.7,0.44,7.0
95,9.2,0.26,62.0,0.9969,240.0,3.04,7.1,12.4,0.42,6.0
96,8.8,0.34,26.0,0.9979,164.0,3.14,6.0,15.9,0.5,6.0
97,11.4,0.265,15.0,0.9913,80.0,2.95,8.6,1.2,0.36,7.0
98,10.1,0.36,4.0,0.9956,83.0,2.89,9.8,10.5,0.3,4.0
99,8.8,0.34,26.0,0.9979,164.0,3.14,6.0,15.9,0.5,6.0
100,9.1,0.25,52.0,0.9975,192.0,3.0,7.4,13.5,0.44,5.0
101,9.4,0.12,64.0,0.9962,162.0,3.4,7.1,9.6,0.41,5.0
102,9.4,0.21,55.0,0.997,164.0,3.34,6.0,12.1,0.39,5.0
103,9.0,0.305,44.0,1.0,170.0,2.99,7.5,18.9,0.46,5.0
104,9.1,0.25,52.0,0.9975,192.0,3.0,7.4,13.5,0.44,5.0
105,9.2,0.13,34.0,0.9974,109.0,3.2,7.3,14.4,0.35,6.0
106,9.4,0.12,64.0,0.9962,162.0,3.4,7.1,9.6,0.41,5.0
107,9.1,0.23,60.0,0.999,171.0,3.16,7.1,16.5,0.59,6.0
108,9.1,0.23,60.0,0.999,171.0,3.16,7.1,16.5,0.59,6.0
109,10.3,0.33,37.0,0.9927,187.0,3.27,6.9,1.3,0.6,5.0
110,8.8,0.17,64.0,0.9959,163.0,2.89,6.5,8.5,0.39,6.0
112,9.2,0.31,68.0,0.9982,195.0,3.01,7.2,13.3,0.47,5.0
113,9.1,0.41,29.0,0.9968,150.0,3.22,6.7,9.2,0.51,5.0
114,9.1,0.41,29.0,0.9968,150.0,3.22,6.7,9.2,0.51,5.0
115,9.7,0.485,8.0,0.994,103.0,3.63,5.5,1.5,0.4,4.0
116,11.3,0.31,25.0,0.9914,143.0,3.31,6.0,3.3,0.44,6.0
117,11.8,0.14,16.0,0.9911,85.0,3.19,7.0,1.7,0.42,6.0
118,9.2,0.31,68.0,0.9982,195.0,3.01,7.2,13.3,0.47,5.0
119,9.2,0.32,57.0,0.9982,196.0,3.04,7.3,13.3,0.5,5.0
120,10.2,0.36,21.0,0.9934,87.0,3.22,5.9,5.7,0.51,5.0
121,8.8,0.24,42.0,0.9984,138.0,3.01,7.8,12.2,0.54,5.0
122,9.7,0.16,31.0,0.9952,131.0,3.29,7.4,6.85,0.34,5.0
123,9.1,0.19,14.0,0.9952,146.0,3.29,6.9,5.0,0.36,6.0
124,9.8,0.13,40.0,0.9928,158.0,3.21,6.4,1.6,0.36,6.0
125,11.0,0.19,63.0,0.9912,143.0,3.27,6.7,1.1,0.48,6.0
126,10.5,0.39,29.0,0.994,126.0,3.14,7.4,7.0,0.42,5.0
127,9.7,0.24,48.0,0.9958,203.0,3.45,6.5,7.6,0.54,7.0
128,10.9,0.3,47.0,0.9924,179.0,3.3,6.1,2.8,0.57,7.0
129,10.9,0.3,46.0,0.9924,184.0,3.31,6.1,2.7,0.57,6.0
130,10.6,0.26,7.0,0.994,57.0,3.39,5.7,10.4,0.37,5.0
131,9.7,0.24,48.0,0.9958,203.0,3.45,6.5,7.6,0.54,7.0
132,9.0,0.425,59.0,0.9979,241.0,3.23,6.5,13.1,0.57,5.0
133,9.2,0.24,46.0,0.9982,188.0,3.24,6.6,15.8,0.51,5.0
134,8.9,0.27,55.0,0.9961,203.0,3.19,6.8,8.1,0.52,5.0
135,9.6,0.27,44.0,0.9979,179.0,3.26,6.7,15.7,0.56,5.0
136,10.7,0.23,36.0,0.992,121.0,3.12,8.2,1.2,0.38,6.0
137,8.7,0.37,49.0,0.9975,155.0,3.16,7.1,10.5,0.44,5.0
138,10.8,0.19,30.0,0.9917,96.0,3.15,6.8,1.9,0.54,7.0
139,11.8,0.28,18.0,0.9923,79.0,3.23,8.1,1.9,0.52,6.0
140,10.2,0.31,20.0,0.9927,77.0,3.3,6.3,2.2,0.43,5.0
141,8.7,0.37,49.0,0.9975,155.0,3.16,7.1,10.5,0.44,5.0
142,10.8,0.21,38.0,0.992,107.0,3.21,7.9,1.2,0.54,6.0
143,9.7,0.21,24.0,0.9947,99.0,3.18,8.5,4.3,0.53,6.0
144,11.2,0.2,19.0,0.9921,87.0,3.12,8.1,2.0,0.54,6.0
145,10.9,0.255,37.0,0.9905,114.0,3.0,6.3,1.1,0.39,6.0
146,10.1,0.16,53.0,0.9918,168.0,3.28,5.6,1.4,0.37,6.0
147,9.0,0.595,15.0,0.9951,97.0,3.38,6.4,5.2,0.36,4.0
148,12.0,0.34,19.0,0.9917,80.0,3.38,6.3,4.6,0.58,7.0
149,9.4,0.25,23.0,0.994,116.0,2.99,6.9,4.1,0.38,6.0
150,11.5,0.22,46.0,0.9934,152.0,3.12,7.9,8.0,0.32,7.0
151,9.9,0.18,58.0,0.9968,135.0,3.14,7.6,10.2,0.43,6.0
152,9.4,0.25,23.0,0.994,116.0,2.99,6.9,4.1,0.38,6.0
153,10.4,0.18,41.0,0.9919,97.0,3.14,7.2,1.2,0.45,5.0
154,9.7,0.23,12.0,0.9966,76.0,3.06,8.2,7.5,0.84,6.0
155,8.9,0.24,48.0,0.9979,198.0,2.89,7.4,14.0,0.42,6.0
156,8.9,0.24,48.0,0.9979,198.0,2.89,7.4,14.0,0.42,6.0
157,12.4,0.32,38.0,0.9898,124.0,3.29,6.1,1.5,0.42,7.0
158,12.1,0.44,43.0,0.9894,119.0,3.36,5.2,1.4,0.33,8.0
159,12.1,0.44,43.0,0.9894,119.0,3.36,5.2,1.4,0.33,8.0
160,12.4,0.32,38.0,0.9898,124.0,3.29,6.1,1.5,0.42,7.0
161,9.1,0.22,27.0,0.998,159.0,2.98,6.4,14.5,0.4,5.0
162,10.6,0.36,14.0,0.9932,85.0,3.28,6.3,4.8,0.39,5.0
163,8.9,0.24,48.0,0.9979,198.0,2.89,7.4,14.0,0.42,6.0
164,9.5,0.24,64.0,0.997,205.0,3.15,6.7,13.1,0.5,5.0
165,9.8,0.23,72.0,0.9972,177.0,3.16,7.0,13.0,0.49,5.0
166,9.6,0.27,39.0,0.9974,197.0,3.14,8.4,8.7,0.59,6.0
167,12.6,0.46,25.0,0.9896,98.0,3.08,6.7,2.4,0.44,7.0
168,9.3,0.29,20.0,0.9968,151.0,3.08,7.5,8.95,0.54,5.0
169,10.0,0.42,5.0,0.9958,110.0,2.87,9.8,9.85,0.29,5.0
170,12.7,0.3,29.0,0.9906,133.0,3.12,7.1,1.5,0.54,6.0
171,11.0,0.19,17.0,0.9917,96.0,3.13,7.9,1.5,0.39,6.0
172,11.4,0.48,4.0,0.9902,100.0,3.03,7.6,0.8,0.39,4.0
173,11.5,0.22,31.0,0.9918,130.0,3.35,6.3,4.55,0.33,7.0
174,10.2,0.27,33.0,0.999,173.0,3.09,7.5,17.7,0.64,5.0
175,11.4,0.23,50.0,0.9927,151.0,3.11,6.9,7.5,0.27,6.0
176,12.6,0.32,19.0,0.991,65.0,3.03,7.2,5.1,0.41,4.0
177,9.4,0.23,57.0,0.9972,170.0,3.28,5.9,12.9,0.39,5.0
178,8.7,0.67,9.0,0.9931,108.0,3.11,6.0,1.2,0.35,4.0
179,9.2,0.25,41.0,0.995,176.0,3.19,6.4,5.5,0.68,6.0
180,9.3,0.33,42.0,0.9951,173.0,3.19,6.4,5.5,0.66,6.0
181,9.2,0.34,61.0,0.9936,183.0,3.09,7.1,1.2,0.43,5.0
182,8.7,0.28,48.0,1.001,167.0,2.93,6.8,22.0,0.5,5.0
183,9.6,0.27,64.0,0.9979,227.0,3.18,6.9,14.0,0.58,6.0
184,9.3,0.26,64.0,0.997,226.0,3.02,6.8,11.9,0.63,5.0
185,9.3,0.29,66.0,0.9972,230.0,3.02,6.8,11.9,0.63,5.0
186,9.9,0.24,49.0,0.9954,166.0,3.12,6.7,9.4,0.61,6.0
187,11.0,0.3,42.0,0.9924,119.0,3.15,5.9,4.2,0.5,5.0
188,12.7,0.53,26.0,0.9906,109.0,3.26,6.8,3.8,0.57,8.0
189,8.9,0.28,54.0,0.9962,210.0,3.09,6.5,8.5,0.54,4.0
190,8.9,0.28,55.0,0.9962,211.0,3.09,6.6,8.5,0.55,6.0
191,8.7,0.28,48.0,1.001,167.0,2.93,6.8,22.0,0.5,5.0
192,11.4,0.28,28.0,0.9928,123.0,3.02,6.8,8.0,0.37,6.0
193,9.6,0.15,34.0,0.9942,125.0,3.36,6.6,5.1,0.42,5.0
194,9.1,0.29,75.0,0.9942,181.0,3.02,6.4,3.6,0.41,5.0
195,9.1,0.3,76.0,0.9942,180.0,3.02,6.4,3.5,0.39,6.0
196,9.1,0.29,75.0,0.9942,183.0,3.01,6.4,3.6,0.38,5.0
197,8.9,0.26,54.0,0.9961,214.0,3.13,6.8,7.8,0.47,5.0
198,8.8,0.32,52.0,0.998,204.0,3.1,7.1,13.1,0.49,5.0
199,8.9,0.26,54.0,0.9961,214.0,3.13,6.8,7.8,0.47,5.0
200,9.3,0.27,55.0,0.9984,196.0,3.15,6.8,16.1,0.5,5.0
201,8.8,0.32,52.0,0.998,204.0,3.1,7.1,13.1,0.49,5.0
202,9.6,0.54,53.0,0.9973,236.0,3.2,6.9,13.2,0.5,5.0
203,12.0,0.26,39.0,0.9949,134.0,3.33,6.8,13.9,0.53,6.0
204,10.2,0.28,36.0,0.9924,114.0,3.28,5.8,2.3,0.5,4.0
205,8.8,0.21,45.0,0.9972,153.0,3.15,6.4,11.6,0.43,5.0
206,9.2,0.16,38.0,0.9958,126.0,3.21,7.0,8.3,0.34,5.0
207,9.9,0.44,20.0,0.9968,124.0,2.99,10.2,6.2,0.51,4.0
208,10.2,0.57,15.0,0.9938,77.0,3.32,6.8,2.2,0.74,5.0
209,9.5,0.4,23.0,0.993,170.0,3.22,6.1,0.9,0.77,6.0
210,10.5,0.245,12.0,0.994,68.0,3.31,5.6,9.7,0.34,5.0
211,11.2,0.18,35.0,0.9918,111.0,3.32,6.8,1.4,0.59,7.0
212,9.2,0.16,38.0,0.9958,126.0,3.21,7.0,8.3,0.34,5.0
213,9.7,0.13,31.0,0.9944,122.0,3.44,6.7,5.3,0.37,6.0
214,11.1,0.25,35.0,0.9912,105.0,3.3,6.2,1.4,0.44,7.0
215,9.4,0.26,55.0,0.9961,152.0,3.31,5.8,9.2,0.38,5.0
216,11.0,0.27,45.0,0.9939,164.0,3.03,7.5,7.0,0.33,5.0
217,9.4,0.26,55.0,0.9961,152.0,3.31,5.8,9.2,0.38,5.0
218,9.4,0.28,60.0,0.9989,167.0,3.31,5.7,17.5,0.44,5.0
219,11.0,0.23,43.0,0.9938,161.0,3.04,7.5,7.0,0.32,5.0
220,11.0,0.27,45.0,0.9939,164.0,3.03,7.5,7.0,0.33,5.0
221,9.1,0.685,33.0,0.9971,172.0,3.0,7.2,9.5,0.55,6.0
222,11.1,0.25,35.0,0.9912,105.0,3.3,6.2,1.4,0.44,7.0
223,9.1,0.19,33.0,0.9936,144.0,3.42,6.5,0.8,0.39,6.0
224,10.4,0.495,31.0,0.9929,140.0,3.39,6.3,1.8,0.54,6.0
225,8.7,0.24,39.0,0.9998,145.0,3.32,7.1,17.8,0.39,5.0
226,9.7,0.17,41.0,0.9938,200.0,3.5,6.4,2.4,0.5,6.0
228,9.7,0.17,41.0,0.9938,200.0,3.5,6.4,2.4,0.5,6.0
229,8.7,0.24,39.0,0.9998,145.0,3.32,7.1,17.8,0.39,5.0
230,8.9,0.64,26.0,0.9972,142.0,3.37,6.8,9.7,0.46,4.0
231,9.6,0.28,38.0,0.9976,194.0,3.34,8.3,7.8,0.51,6.0
232,9.5,0.27,49.0,0.9976,208.0,3.31,8.2,7.8,0.51,6.0
233,9.0,0.23,55.0,0.9979,194.0,3.09,7.2,14.3,0.44,6.0
234,9.0,0.23,55.0,0.9979,194.0,3.09,7.2,14.3,0.44,6.0
235,9.0,0.23,55.0,0.9979,194.0,3.09,7.2,14.3,0.44,6.0
236,9.0,0.23,55.0,0.9979,194.0,3.09,7.2,14.3,0.44,6.0
237,9.6,0.52,54.0,0.9972,221.0,3.27,6.8,13.2,0.5,6.0
238,11.1,0.26,40.0,0.9918,120.0,3.34,7.0,1.4,0.41,7.0
239,9.6,0.25,28.0,0.9982,159.0,3.48,6.2,15.55,0.64,6.0
240,8.7,0.32,49.0,0.9985,197.0,3.2,7.3,13.7,0.46,5.0
241,10.4,0.31,23.0,0.9944,90.0,3.13,7.7,7.8,0.5,5.0
242,11.4,0.21,23.0,0.9903,100.0,3.15,7.1,2.4,0.38,7.0
243,9.7,0.24,64.5,0.9934,218.5,3.3,6.8,2.7,0.58,6.0
244,8.7,0.4,40.0,0.9975,142.0,3.14,6.9,11.2,0.46,5.0
245,11.3,0.18,20.0,0.9923,249.5,3.37,6.1,2.0,0.79,6.0
246,12.6,0.21,26.0,0.99,139.0,3.16,6.8,2.1,0.61,7.0
247,10.9,0.2,12.0,0.9905,77.0,3.25,5.8,1.4,0.36,7.0
248,10.9,0.19,12.0,0.9905,76.0,3.25,5.6,1.4,0.37,7.0
249,10.0,0.41,18.0,0.996,119.0,3.38,6.1,10.4,0.45,5.0
250,10.0,0.21,40.0,0.9964,199.0,3.72,5.9,4.6,0.7,4.0
251,9.8,0.26,41.0,0.998,197.0,3.02,8.5,16.2,0.5,3.0
252,8.7,0.4,40.0,0.9975,142.0,3.14,6.9,11.2,0.46,5.0
253,11.7,0.24,5.0,0.9913,109.0,3.53,5.8,3.5,0.43,3.0
254,9.3,0.24,37.0,0.9932,158.0,3.21,5.8,1.5,0.52,6.0
255,9.6,0.26,45.0,0.9935,147.0,3.32,6.7,1.1,0.58,8.0
256,11.0,0.35,8.0,0.9927,97.0,3.27,6.3,5.7,0.41,7.0
257,11.0,0.35,8.0,0.9927,97.0,3.27,6.3,5.7,0.41,7.0
258,11.8,0.23,23.0,0.9912,118.0,3.32,6.4,1.8,0.5,6.0
259,11.4,0.36,3.0,0.9904,75.0,3.28,5.8,0.9,0.34,4.0
260,10.2,0.115,36.0,0.9939,108.0,3.32,6.9,5.4,0.42,6.0
261,8.9,0.29,36.0,0.9996,156.0,2.93,6.9,19.45,0.47,5.0
262,10.2,0.28,15.0,0.9944,95.0,3.17,6.9,8.2,0.33,5.0
263,9.6,0.29,66.0,0.9977,231.0,3.08,7.2,13.6,0.59,6.0
264,10.6,0.24,22.0,0.9912,167.0,3.1,6.2,1.2,0.48,6.0
265,8.9,0.29,36.0,0.9996,156.0,2.93,6.9,19.45,0.47,5.0
266,9.2,0.32,32.0,0.9965,180.0,3.25,6.9,8.3,0.51,6.0
267,9.7,0.58,34.0,0.9944,149.0,3.34,5.3,6.9,0.57,5.0
268,9.7,0.585,34.0,0.9945,145.0,3.34,5.3,7.1,0.57,6.0
269,9.7,0.59,36.0,0.9944,147.0,3.34,5.4,7.0,0.57,6.0
270,9.2,0.32,32.0,0.9965,180.0,3.25,6.9,8.3,0.51,6.0
271,9.7,0.6,33.0,0.9944,147.0,3.33,5.2,7.0,0.58,5.0
272,9.3,0.25,44.0,0.9972,148.0,3.29,5.8,13.1,0.38,5.0
273,9.0,0.58,30.0,0.9949,123.0,3.24,6.6,5.1,0.38,5.0
274,9.5,0.29,59.0,0.9966,234.0,3.05,7.0,10.7,0.61,5.0
275,9.8,0.19,51.0,0.9954,169.0,3.14,6.6,8.9,0.57,6.0
276,9.8,0.2,50.0,0.9954,166.0,3.14,6.7,9.1,0.58,6.0
277,10.6,0.26,9.0,0.9915,60.0,2.89,7.7,1.1,0.5,5.0
278,10.6,0.32,14.0,0.9919,67.0,3.05,6.8,1.2,0.47,4.0
279,12.4,0.3,17.0,0.9916,105.0,3.26,7.0,4.7,0.68,7.0
280,12.6,0.24,22.0,0.99,112.0,3.19,7.0,2.8,0.38,8.0
281,12.3,0.31,36.0,0.9909,114.0,3.3,6.1,5.0,0.6,8.0
282,10.5,0.44,46.0,0.9938,201.0,3.08,6.8,5.1,0.65,4.0
283,9.3,0.34,51.0,0.9982,196.0,3.19,6.7,15.6,0.49,5.0
284,8.8,0.35,46.0,0.9988,198.0,3.12,7.1,15.4,0.49,5.0
285,8.8,0.32,47.0,0.9961,180.0,3.08,7.3,7.2,0.47,5.0
286,9.7,0.28,51.0,0.9978,190.0,3.22,6.5,15.7,0.51,6.0
287,9.0,0.23,49.0,0.9979,192.0,2.98,7.2,14.2,0.48,7.0
288,9.0,0.23,49.0,0.9979,192.0,2.98,7.2,14.2,0.48,7.0
289,9.0,0.23,49.0,0.9979,192.0,2.98,7.2,14.2,0.48,7.0
290,9.0,0.23,49.0,0.9979,192.0,2.98,7.2,14.2,0.48,7.0
291,10.5,0.15,53.0,0.9945,155.0,3.52,5.9,5.8,0.46,6.0
292,9.1,0.28,53.0,1.0,195.0,2.96,7.4,19.8,0.44,5.0
293,9.8,0.28,26.0,0.9957,157.0,3.44,6.2,7.3,0.64,7.0
294,8.5,0.59,34.0,0.9968,182.0,3.23,9.1,1.6,0.38,3.0
295,9.4,0.33,34.0,0.9934,175.0,3.37,6.3,1.2,0.54,6.0
296,9.4,0.39,33.0,0.9976,169.0,3.09,8.3,10.6,0.57,5.0
298,10.0,0.17,65.0,0.997,146.0,3.17,7.5,11.3,0.45,6.0
299,10.3,0.17,27.0,0.9923,122.0,3.15,6.7,2.1,0.45,6.0
300,10.8,0.41,36.0,0.9914,87.0,3.27,6.1,1.6,0.67,6.0
301,10.5,0.2,12.0,0.992,74.0,3.13,8.3,0.9,0.38,6.0
302,10.8,0.41,36.0,0.9914,87.0,3.27,6.1,1.6,0.67,6.0
303,11.1,0.29,42.0,0.9914,168.0,3.32,6.0,1.3,0.43,6.0
304,9.9,0.41,41.0,0.9949,163.0,3.2,7.3,6.8,0.41,6.0
305,9.9,0.41,41.0,0.9949,163.0,3.2,7.3,6.8,0.41,6.0
306,9.9,0.43,40.0,0.995,163.0,3.2,7.2,6.7,0.41,5.0
307,9.9,0.4,41.0,0.995,166.0,3.2,7.3,6.7,0.41,6.0
308,10.4,0.33,30.0,0.9927,134.0,3.2,6.2,4.9,0.42,7.0
309,10.4,0.31,36.0,0.9928,148.0,3.21,6.2,4.8,0.41,6.0
310,11.5,0.36,16.0,0.9917,100.0,3.4,6.1,2.1,0.71,7.0
311,12.5,0.55,35.0,0.9918,164.0,3.53,5.0,8.3,0.51,8.0
312,10.0,0.25,37.0,0.9954,149.0,3.36,7.8,3.7,0.45,6.0
313,10.0,0.36,51.0,0.9941,166.0,3.29,5.7,6.7,0.63,6.0
314,10.0,0.34,50.0,0.9941,167.0,3.29,5.8,6.6,0.62,5.0
315,9.1,0.28,42.0,0.9934,127.0,3.09,6.8,1.1,0.44,6.0
316,10.6,0.25,34.0,0.9927,134.0,3.21,6.8,4.7,0.38,6.0
317,10.5,0.24,36.0,0.9938,135.0,3.19,6.6,7.7,0.37,5.0
318,11.5,0.3,19.0,0.9933,133.0,3.52,5.9,7.85,0.43,7.0
319,10.1,0.125,10.0,0.9934,69.0,3.54,6.1,3.3,0.59,6.0
320,10.3,0.1,15.0,0.9927,65.0,3.61,6.0,1.1,0.61,7.0
321,10.5,0.24,36.0,0.9938,135.0,3.19,6.6,7.7,0.37,5.0
322,10.6,0.25,34.0,0.9927,134.0,3.21,6.8,4.7,0.38,6.0
323,10.4,0.28,35.0,0.9946,137.0,3.16,6.8,9.3,0.36,6.0
324,11.4,0.41,11.0,0.993,207.0,3.02,8.3,2.0,0.55,5.0
326,10.0,0.26,38.0,0.9976,216.0,2.96,7.9,15.15,0.6,6.0
327,10.0,0.34,37.0,0.9944,143.0,3.19,6.4,6.3,0.65,6.0
